code,replacement
^,circumflex
´,acute
`,grave
"""",diaeresis
"""",trema
~,tilde
~,wave
-,minus
-,hyphen
_,macron
~~,wavy
%,percent
%0,per mille
kxr,kangxi radical
_,underscore
-,dash
-,bar
/,stroke
",",cedilla
/,division
*,multiplication
x,multiplication
",",ogonek
u,caron
",",comma
.,period
.,dot
",",hook
´,prime
',apostrophe
/,solidus
n0,zero
n1,one
n2,two
n3,three
n4,four
n5,five
n6,six
n7,seven
n8,eight
n9,nine
n10,ten
n11,eleven
n12,twelve
n13,thirteen
n14,fourteen
n15,fifteen
n16,sixteen
n17,seventeen
n18,eighteen
n19,nineteen
n20,twenty
x,cross
